一;one;In Chinese characters, the number **one** is laid on its side, unlike the Roman numeral I which stands upright. As you would expect, it is written from left to right.;* As a primitive element, the key-word meaning is discarded, and the single horizontal stroke takes on the meaning of _floor_ or _ceiling_ , depending on its position: if it stands above another primitive, it means _ceiling_ , if below, _floor_.;1) [[Piitaa](http://kanji.koohii.com/profile/Piitaa)] 29-6-2006(263): **One** down, 2041 to go. ,).;2) [[findus](http://kanji.koohii.com/profile/findus)] 11-5-2008(98): To learn this **one** kanji, I [recommend](../v4/2000.html) (#2000 薦) this story : _Bambi_ is in a _cave_ , eating a side-dish of _salad_ when trying to learn the kanjis. As he succeed to learn the kanji for "one", you get jealous and decide to shoot him with a _slingshot_. At this moment you hear the police coming, so you hurriedly burn all the proofs into a _fire_ (so you remove the key-words _Bambi_ , _slingshot_ and _fire_ from _recommend_ ). So that when the police arrives, the only remaining clue is a single horizontal bar.;3) [[diracbracket](http://kanji.koohii.com/profile/diracbracket)] 27-2-2008(93): This **one** is too difficult to remember. If the other Kanji are this difficult, I'm giving up.;4) [[breton](http://kanji.koohii.com/profile/breton)] 10-10-2007(44): A sleeping Roman I. ,).;5) [[MeisterLlama](http://kanji.koohii.com/profile/MeisterLlama)] 29-4-2009(36): Tips for your journey:1)check the keywords (for example with saiga-jp kanji dict or jisho.org or <http://dic.yahoo.co.jp> \+ rikaichan). heisig messes up a lot. 2)you'll get mixed up if you use too many penis euphemisms. i try to stick with just "crotch" for penis. 3)try to use the right meaning of the keyword in your stories. for example 抄 "extract" is like an excerpt, not the verb extract.
日;day;This kanji is intended to be a pictograph of the sun. Recalling what we said in the previous frame about round forms, it is easy to detect the circle and the big smile that characterize our simplest drawings of the sun - like those yellow badges with the words, "Have a nice **day**! ";* Used as a primitive, this kanji can mean _sun_ or _day_ or a _tongue wagging in the mouth_. This latter meaning, incidentally, derives from an old character outside the standard list meaning something like  "sayeth" and written almost exactly the same, except that the stroke in the middle does not touch the right side (Frame 620).;1) [[Alphinux](http://kanji.koohii.com/profile/Alphinux)] 23-1-2008(120): Open the window, new **day**.;2) [[ibnfe2](http://kanji.koohii.com/profile/ibnfe2)] 30-12-2006(18): Picture two halves of a 24-hr period: **Day** & Night.;3) [[ruschein](http://kanji.koohii.com/profile/ruschein)] 4-1-2009(11): Open window because its a _sunny_ **day**.;4) [[Danieru](http://kanji.koohii.com/profile/Danieru)] 29-10-2007(11): On Sun **day** , church-goers sings hymns, their _tongues wagging in their mouths_.;5) [[pilot_sun16](http://kanji.koohii.com/profile/pilot_sun16)] 28-1-2010(10): =sun, **day** ： Each time the SUN rises a new **DAY** begins. [day](../v4/12.html) (#12 日) is a picture of the sun. Normally we draw the sun with a circle(ㅇ) surrounded by many strokes. But there are no “round” shaped Kanji so we take [mouth](../v4/11.html) (#11 口) instead, and one stroke in the middle (one (#1 一)) representing all. 日本 Japan, 日曜日 （ニチジヨウび）Sunday, 毎日 （マイニチ）everyday, 母の日 （ははのひ）mother's **day** , 日記 （ニッキ）diary, 三日 （ミッカ）three **day** s.
月;month;This character is actually a picture of the moon, with the two horizontal lines representing the left eye and mouth of the mythical "man in the moon." (Actually, the Japanese see a hare in the moon, but it is a little farfetched to find one in the kanji.) And one **month** , of course, is one cycle of the moon.;* As a primitive element, this character can take on the sense of _moon_ , _flesh_ , or _part of the body_. The reasons for the latter two meanings will be explained in a later chapter.;1) [[cerulean](http://kanji.koohii.com/profile/cerulean)] 19-5-2008(157): A **month** is longer than a day.;2) [[elktapestry](http://kanji.koohii.com/profile/elktapestry)] 21-3-2007(60): Am I the only one who sees this as someone sticking their ass in the air "mooning" someone (two cheeks of the butt and the legs coming off of it)? The Moon meaning connects well to the meaning of **month** , considering that **month** s were traditionally measured by the phases of the moon. Also, the mooning "ass" part of it connects well to Hesig's seemingly unconnected "flesh" or "part of the body" meaning (when used in primitive form).;3) [[gaijingo](http://kanji.koohii.com/profile/gaijingo)] 16-6-2006(15): **Month** \- every MOON cycle, werewolves eat FLESH, and other PARTs OF THE BODY.;4) [[Tsuki56](http://kanji.koohii.com/profile/Tsuki56)] 6-6-2009(12): Once a **month** , the moon is full.;5) [[LiviaCH](http://kanji.koohii.com/profile/LiviaCH)] 5-8-2008(8): A **month** is longer than a day.
田;rice field;Another pictograph, this kanji looks like a bird's-eye view of a **rice field** divided into four plots. Be careful when writing this character to get the order of the strokes correct. You will find that it follows perfectly the principle stated in frame 4.;* When used as a primitive element, the meaning of _rice field_ is most common, but now and again it will take the meaning of _brains_ from the fact that it looks a bit like that tangle of gray matter nestled under our skulls.;1) [[Chisaku](http://kanji.koohii.com/profile/Chisaku)] 30-6-2007(114): A **rice field** divided into four parts.;2) [[Kosmo](http://kanji.koohii.com/profile/Kosmo)] 17-5-2008(41): _Ten_ people use their _mouths_ to eat the yield of the **rice fields**.;3) [[ruschein](http://kanji.koohii.com/profile/ruschein)] 4-1-2009(30): _Ten_ **rice field** s can feed many _mouths_.;4) [[chrisgaunt](http://kanji.koohii.com/profile/chrisgaunt)] 3-1-2011(16): A farmer must use his _brain_ to measure out a 4-plot **rice field**.;5) [[mikan](http://kanji.koohii.com/profile/mikan)] 16-12-2007(11): One day the farmer is neatly digging his **rice field** chopping down with his spade in two directions at 90 degrees, when suddenly there is a crunching sound as he has chopped twice into the skull of a dead body exposing the **brain** s sliced into four pieces. Ughhh !
目;eye;Here again, if we round out the corners of this kanji and curve the middle strokes upwards and downwards respectively, we get something resembling an **eye**.;* As a primitive, the kanji keeps its sense of _eye_ , or more specifically, an _eyeball_. When placed in the surroundings of a complex kanji, the primitive will sometimes be turned on its side.;1) [[d3kuma](http://kanji.koohii.com/profile/d3kuma)] 13-7-2009(223): 目 _ 目 .;2) [[kylemanning](http://kanji.koohii.com/profile/kylemanning)] 22-11-2007(92): There are 3 sections. Imagine the outer two being the whites of your **eye**. The middle is the pupil. Fill it in with imaginary color.;3) [[xiteru](http://kanji.koohii.com/profile/xiteru)] 9-10-2007(20): This one comes from an ancient character that was an **eye**. It is an **eye** rotated in 90 degree but got squared (think about anime style **eye** s).;4) [[TakaTahuNuva](http://kanji.koohii.com/profile/TakaTahuNuva)] 29-3-2009(12): 目 _ 目 .;5) [[MechHawk](http://kanji.koohii.com/profile/MechHawk)] 30-9-2009(6): ( 目 _ 目 ).
古;old;The primitive elements that compose this character are _ten_ and _mouth_ , but you may find it easier to remember it as a pictograph of a tombstone with a cross on top. Just think back to one of those graveyards you have visited, or better still, used to play in as a child, with **old** inscriptions on the tombstones. This departure from the primitive elements in favor of a pictograph will take place now and again at these early stages, and almost never after that. So you need not worry about cluttering up your memory with too many character  "drawings.";* Used as a primitive element, this kanji keeps its key-word sense of _old_ , but care should be taken to make that abstract notion as graphic as possible.;1) [[Thaliel](http://kanji.koohii.com/profile/Thaliel)] 8-7-2006(191): Tombstone and cross on an **old** man's grave.;2) [[rajivp](http://kanji.koohii.com/profile/rajivp)] 31-10-2007(76): You get **OLD** fast if you have ten open mouths to feed.;3) [[deusclivio](http://kanji.koohii.com/profile/deusclivio)] 7-1-2009(39): **Old** people tend to talk a lot. Almost as if they had TEN MOUTHS!;4) [[MatthewThomas](http://kanji.koohii.com/profile/MatthewThomas)] 14-1-2008(22): The **old** man had only _10_ teeth in his _mouth_.;5) [[gfb345](http://kanji.koohii.com/profile/gfb345)] 13-6-2010(14): A story is **OLD** when it has been told by _TEN MOUTH_ s.
吾;I;There are actually a number of kanji for the word **I** , but the others tend to be more specific than this one. The key word here should be taken in the general psychological sense of the "perceiving subject." Now the one place in our bodies that all _five_ senses are concentrated in is the head, which has no less than _five mouths_ : 2 nostrils, 2 ears, and 1 mouth. Hence, _five mouths_ = **I**.;;1) [[kbaum](http://kanji.koohii.com/profile/kbaum)] 18-7-2007(170): I have 5 senses.;2) [[AxelFoe](http://kanji.koohii.com/profile/AxelFoe)] 12-11-2007(139): I eat five times at day.;3) [[SketchySolid](http://kanji.koohii.com/profile/SketchySolid)] 10-7-2009(53): **I** consist of _five_ senses to observe, one _mouth_ to speak. _For order, remember that observing through the senses should be done before using one's mouth_.;4) [[Lbear](http://kanji.koohii.com/profile/Lbear)] 26-7-2007(41): I have two eyes, nose, two ears = 5 plus one mouth.;5) [[Plathix](http://kanji.koohii.com/profile/Plathix)] 30-9-2008(32): I can fit all five of my fingers in my mouth! :D.
冒;risk;Remember when you were young and your mother told you never to look directly into the _sun_ for fear you might burn out your _eyes_? Probably you were foolish enough to **risk** a quick glance once or twice, but just as probably, you passed that bit of folk wisdom on to someone else as you grew older. Here, too, the kanji that has a _sun_ above and an _eye_ right below looking up at it has the meaning of **risk** (see frame 12).;;1) [[Christine_Tham](http://kanji.koohii.com/profile/Christine_Tham)] 21-7-2007(283): Don't look at the sun directly with your eyes, it's **risk** y!;2) [[godcomplex](http://kanji.koohii.com/profile/godcomplex)] 2-11-2007(55): You'll **risk** your eyesight if you look up at the sun.;3) [[laner36](http://kanji.koohii.com/profile/laner36)] 19-5-2008(31): Looking up at the big sun is a **risk** to your eye. To remember that the sun primitive is bigger than the eye primitive, imagine making your eyes little (squinting) when you go out in the bright sun to reduce the **risk** of getting sun blindness. READING: imagine a kid saying "oh that's ぼう (bull as in B.S.), looking at the sun is no **risk**!" [he's blind now].;4) [[cerulean](http://kanji.koohii.com/profile/cerulean)] 19-5-2008(14): Staring into the big _sun_ can **risk** your _eye_ sight! HINT: It looks like a pipe from Super Mario Bros. It might be **risk** y to go down it. :p.;5) [[sethimayne](http://kanji.koohii.com/profile/sethimayne)] 25-9-2007(10): If you look at the _sun_ high in the sky directly with your _eyes_ below, you're taking a big **risk**.
朋;companion;The first **companion** that God made, as the Bible story goes, was Eve. Upon seeing her, Adam exclaimed,  " _Flesh_ of my _flesh_! " And that is precisely what this character says in so many strokes.;;1) [[Christine_Tham](http://kanji.koohii.com/profile/Christine_Tham)] 21-7-2007(136): My **companion** and I are like two moons side by side.;2) [[kylemanning](http://kanji.koohii.com/profile/kylemanning)] 22-11-2007(60): One moon is lonely. Two moons are **companion** s.;3) [[lucianreign](http://kanji.koohii.com/profile/lucianreign)] 15-11-2006(47): Under the twin moons of Tatooine, Luke had no **COMPANION**.;4) [[xombijosh](http://kanji.koohii.com/profile/xombijosh)] 10-3-2008(36): Two bodies next to each other, **companion** s.;5) [[LeoOra](http://kanji.koohii.com/profile/LeoOra)] 7-1-2008(18): Real **companion** s stay together during dark times, under many MOONS, or many MONTHS…
明;bright;Among nature's **bright** lights, there are two that the biblical myth has God set in the sky: the _sun_ to rule over the day and the _moon_ to rule the night. Each of them has come to represent one of the common connotations of this key word: the _sun_ , the **bright** insight of the clear thinker, and the _moon_ , the **bright** intuition of the poet and the seer (see frame 13).;;1) [[ablindmouse](http://kanji.koohii.com/profile/ablindmouse)] 28-8-2007(330): The sun makes the moon **bright**.;2) [[Christine_Tham](http://kanji.koohii.com/profile/Christine_Tham)] 21-7-2007(58): The sun and the moon are **bright** est objects in the day and night, respectively.;3) [[snispilbor](http://kanji.koohii.com/profile/snispilbor)] 15-4-2008(39): In the long run, the REAL trouble here is distinguishing it from "shining"/"sparkle". Choose a story to learn how to write 明 . To distinguish it, remember the Japanese word 明日 (ashita, "tomorrow") and think of Orphan Annie singing " _Tomorrow_ is a **bright** er day".;4) [[henroski](http://kanji.koohii.com/profile/henroski)] 24-8-2008(19): The SUN is **BRIGHT** ER than the MOON.;5) [[geekdiva](http://kanji.koohii.com/profile/geekdiva)] 30-11-2005(8): About the order of the primitives: The phrase that I usually hear is "the sun and moon," so to help me remember the order, I'll remember that phrase. Oh! Better yet, I'll put them _in order of **bright** ness_.
唱;chant;This one is easy! You have one _mouth_ making no noise (the choirmaster) and two _mouths with wagging tongues_ (the minimum for a chorus). So think of the key word, **chant** , as monastery singing and the kanji is yours forever (see frame 11).;;1) [[DrWarrior12](http://kanji.koohii.com/profile/DrWarrior12)] 29-6-2007(201): Someone **chant** ing with their mouth open for two consecutive days.;2) [[Tanuki](http://kanji.koohii.com/profile/Tanuki)] 5-8-2007(50): **Chant** s from our mouths are meant to reach the sun and the stars. Stars are just suns just further away so they seem smaller.;3) [[arturo](http://kanji.koohii.com/profile/arturo)] 14-7-2007(33): His _mouth_ **chant** s always when _prosperous_.;4) [[MichaelAnd](http://kanji.koohii.com/profile/MichaelAnd)] 10-3-2008(28): The monk opened his month and **chant** ed for two days.;5) [[rowdyphantom](http://kanji.koohii.com/profile/rowdyphantom)] 23-2-2010(16): A yogi opens his _mouth_ and **chant** s for _two straight days_! [So, did you reach nirvana? "Nah, got a wicked sore throat, though."].
晶;sparkle;What else can the word **sparkle** suggest if not a diamond? And if you've ever held a diamond up to the light, you will have noticed how every facet of it becomes like a miniature _sun_. This kanji is a picture of a tiny _sun_ in three places (that is,  "everywhere"), to give the sense of something that **sparkles** on all sides. Just like a diamond. In writing the primitive elements three times, note again how the rule for writing given in frame 4 holds true not only for the strokes in each individual element but also for the disposition of the elements in the character as a whole.;;1) [[Christine_Tham](http://kanji.koohii.com/profile/Christine_Tham)] 21-7-2007(205): A diamond **sparkle** s as brightly as three suns.;2) [[astgtciv](http://kanji.koohii.com/profile/astgtciv)] 14-4-2007(45): **Sparkle** is a [forest](../v4/197.html) (#197 森) of _suns_!;3) [[skrapmail](http://kanji.koohii.com/profile/skrapmail)] 10-9-2006(27): **Sparkle** , three suns sparkling like zelda pyramids ,-).;4) [[ruschein](http://kanji.koohii.com/profile/ruschein)] 4-1-2009(20): Nothing **sparkle** s like _3 suns_!;5) [[liosama](http://kanji.koohii.com/profile/liosama)] 13-1-2010(12): Wow - Has been ages since I got this character up in a review, I failed it because I thought of a different kanji. Anyway this Kanji has a lot to do with crystals and crystal structure 液晶 liquid crystal, 結晶 crystal, crystallization, crystallisation, 結晶学 crystallography. So the connotation of 'diamond' is really good - maintain that and it will easily let you fall back to its main usage of crystals.
品;goods;As in the character for _sparkle_ , the triplication of a single element in this character indicates "everywhere" or "heaps of." When we think of **goods** in modern industrial society, we think of what has been mass- produced - that is to say, produced for the  "masses" of open _mouths_ waiting like fledglings in a nest to  "consume" whatever comes their way.;;1) [[Tsuki11](http://kanji.koohii.com/profile/Tsuki11)] 29-10-2007(93): _Three boxes_ of **goods** are devoured by the hungry _mouths_ of waiting consumers.;2) [[graham6565](http://kanji.koohii.com/profile/graham6565)] 16-5-2007(68): Three hungry mouths waiting for the **goods** to come.;3) [[mazel](http://kanji.koohii.com/profile/mazel)] 16-4-2008(44): Boxes of **goods** stacked on top of the other.;4) [[FuDaWei](http://kanji.koohii.com/profile/FuDaWei)] 20-8-2009(7): Three stacked crates of _mouth_ -watering **GOODS** , ready for delivery to the restaurant.;5) [[pjdekl](http://kanji.koohii.com/profile/pjdekl)] 27-1-2010(6): Three MOUTHs talk about these _three boxes_ of **GOODS** : the producer’s, the supplier’s and the customer’s.
呂;spine;This character is rather like a picture of two of the vertebrae in the **spine** linked by a single stroke.;;1) [[Thaliel](http://kanji.koohii.com/profile/Thaliel)] 8-7-2006(145): **Spine** connects head and body.;2) [[Senshi](http://kanji.koohii.com/profile/Senshi)] 20-7-2007(54): The **spine** goes from one opening mouth/opening (mouth/face) to another mouth/opening (genitals). Just think of these openings being enlarged to represent the head and the body. The bottom is bigger because the body is bigger than the face.;3) [[MichaelAnd](http://kanji.koohii.com/profile/MichaelAnd)] 10-3-2008(37): The **spine** goes from one opening mouth/opening (mouth/face) to another mouth/opening (in your ass).;4) [[aoerstroem](http://kanji.koohii.com/profile/aoerstroem)] 21-10-2007(22): I looks like two vertebrae connected by nerve threads.;5) [[terozen](http://kanji.koohii.com/profile/terozen)] 25-3-2012(10): In "The Human Centipede", one **spine** connects two mouths to keep the food circulating.
